fieldName,SPNOld,HORNew,VERNew,TMROld,TMRNew,,
PAR,001,000,010,001,0001,,
PAR,002,000,020,002,030,,
PAR,003,000,030,NA,NA,,
PAR,004,000,040,NA,NA,,
PAR,005,000,050,NA,NA,,
PAR,006,000,060,NA,NA,,
PAR,007,000,070,NA,NA,,
PAR,008,000,080,NA,NA,,
QuantLine,001,001,000,001,001,,
QuantLine,002,TBD,000,002,030,,
QuantLine,003,TBD,000,NA,NA,,
QuantLine,004,TBD,000,NA,NA,,
QuantLine,005,TBD,000,NA,NA,,
SAAT,001,000,010,001,001,,
SAAT,002,000,020,002,030,,
SAAT,003,000,030,NA,NA,,
SAAT,004,000,040,NA,NA,,
SAAT,005,000,050,NA,NA,,
SAAT,006,000,060,NA,NA,,
SAAT,007,000,070,NA,NA,,
SAAT,008,000,080,NA,NA,,
